Company Name,Ticker,Current Price (PLN),High Price (PLN),Low Price (PLN),Change (%),Volume
AGORA SA,agora-sa,9.36,9.52,9.20,-1.47,3900
Polimex-Mostostal,polimex-mostostal,6.27,6.31,6.12,2.45,237120
Bioton SA,bioton,4.19,4.26,4.19,-1.64,6660
Echo Investment SA,echo-investment-sa,5.92,6.00,5.88,0.68,91190
Asseco Business Solutions,asseco-business-solutions,87.00,87.20,87.00,-0.23,437
AC SA,ac-spolka-akcyjna-aktie,25.90,26.00,25.50,-0.38,80
Ambra SA,ambra,18.14,18.60,17.60,-2.58,27570
AMICA Wronki SA,amica-wronki,56.50,57.10,56.50,-1.05,416
Apator SA,apator,22.85,23.10,22.55,0.66,3600
Astarta Holding NV,astarta-holding,45.30,46.00,45.10,0.00,1540
Arctic Paper SA,arctic-paper,8.38,8.44,8.30,1.58,49110
Bumech SA,bumech,30.65,30.80,27.80,10.25,123140
Boryszew SA,boryszew,5.98,6.04,5.96,-0.99,57480
Bank Ochrony Środowiska,bank-ochrony-srodowiska,12.24,12.28,11.80,3.03,18760
CI Games,cigames,2.86,2.89,2.845,0.35,75200
Comp SA,comp,57.80,58.00,57.40,-0.34,423
Cognor SA,cognor,6.685,6.72,6.56,0.38,54450
Decora SA,decora,68.60,68.80,68.40,-0.58,815
Elektrotim SA,elektrotim,47.90,48.00,46.30,1.91,29520
Erbud SA,erbud,28.75,29.35,28.40,-0.69,2050
Grenevia,famur,3.04,3.09,3.03,-0.65,16940
Ferro SA,ferro,31.40,31.70,31.30,0.00,3360
Grupa Forte,fabryki-mebli-forte,25.70,25.80,25.50,0.00,1250
Kogeneracja SA,kogeneracja-sa,64.70,64.70,63.80,1.09,2200
Lubelski Wegiel Bogdanka,lubelski-wegiel-bogdanka,21.35,21.50,21.25,0.47,9220
MCI Management SA,mci-management,30.00,30.10,29.80,0.67,429
Mercor SA,mercor,22.90,23.00,22.60,0.00,3120
Mennica Polska SA,mennica-polska,35.10,35.50,34.50,0.86,1180
Mostostal Zabrze,mostostal-zabrze-holding,6.69,6.78,6.65,-1.33,5950
Quercus TFI SA,quercus-tfi,13.15,13.15,12.80,1.15,3310
Rank Progress SA,rank-progress,4.04,4.04,4.005,0.00,0
Selena FM SA,selena-fm,38.70,39.50,38.50,-2.03,290
Sygnity SA,sygnity,100.50,101.50,99.00,0.50,879
ŚNIEŻKA SA,fabryka-farb-i-lakierow-sniezka,78.80,79.40,78.60,0.25,18
Stomil Sanok SA,stomil-sanok-sa,21.10,21.10,21.10,0.00,344
Stalprodukt SA,stalprodukt,264.00,264.00,260.00,0.00,791
Stalexport Autostrady,stalexport-autostrady,3.06,3.09,3.02,0.66,303610
Toya SA,toya,11.20,11.50,10.94,-1.75,51510
Unibep SA,unibep,12.45,12.60,12.30,-0.80,6680
Votum SA,votum,46.05,46.10,45.45,1.32,3140
VRG,vistula-group,4.43,4.50,4.43,-1.77,1870
Wielton SA,wielton,6.85,7.00,6.73,-2.56,80930
WAWEL SA,wawel,700.00,700.00,666.00,0.00,146
Zespol Elektrowni Patnow Adamow Konin,patnow-adamow-konin,21.95,21.95,21.60,0.46,6060
Oponeo.pl SA,oponeo.pl,96.80,97.00,94.80,0.83,2930
Mabion,mabion,7.94,8.06,7.90,-1.37,21780
Tarczynski,tarczynski,126.50,126.50,126.50,0.40,20
Bloober,bloober,25.60,25.75,25.35,-0.39,4880
Synthaverse,biomedlub,4.155,4.22,4.11,-0.36,55860
Medicalg,medicalg,31.80,32.40,30.45,2.25,84680
Datawalk,pilab,90.00,91.39,87.00,2.13,5020
Ryvu,selvita,24.10,24.60,23.70,-0.82,21830
Ailleron,windmobil,15.38,15.38,15.20,0.13,7470
Mercator WA,mercator-wa,40.05,40.50,40.00,0.13,1160
Torpol,torpol,52.40,52.80,52.00,0.38,1860
Columbus,columbus,6.70,6.90,6.55,-0.89,44260
PCC Rokita,pccrokita,69.20,69.30,69.00,0.29,603
Unimot,unimot,127.80,128.60,126.40,0.79,1660
Vigo System,vigosys,512.00,518.00,508.00,-1.16,176
Atal SA,atal-sa,58.80,59.00,58.40,0.00,720
Poznanska Korporacja Budowlana Peka,poznanska-korporacja-budowlana-peka,15.00,15.10,15.00,0.00,841
Wittchen SA,wittchen-sa,17.00,17.24,16.90,1.80,45570
Enter Air,enter-air-sa,52.90,53.00,52.80,0.00,1400
Archicom SA,archicom-sa,47.30,48.00,47.20,0.21,116
GreenX Metals,prairie-downs-metals-ltd,1.958,1.98,1.932,-0.10,87600
Playway,playway-sa,263.50,268.00,263.00,-0.57,2940
Celon Pharma,celon-pharma-sa,21.70,21.70,21.40,1.64,2520
Scope Fluidics,scope-fluidics,152.00,153.60,152.00,-1.04,748
XTPL,xtpl,71.00,72.60,71.00,-0.70,511
Molecure,oncoarendi-therapeutics-sa,6.18,6.24,6.08,-0.32,15680
ML System,ml-system,17.04,17.20,16.68,2.04,23320
Creepy Jar,creepy-jar,429.00,432.00,423.00,1.66,274
Selvita,selvita-sa,40.60,41.00,39.80,0.25,22660
Dadelo,dadelo,57.60,59.20,56.80,-0.69,3090
Captor Therapeutics,captor-therapeutics,47.10,47.80,46.50,0.21,1870
Shoper,shoper,54.20,55.80,53.20,-1.45,3900
Onde,onde,8.69,8.69,8.32,4.32,22040
Creotech Instruments,creotech-instruments,385.00,387.00,382.50,-0.26,695
Bioceltix,bioceltix,96.90,97.00,96.10,0.41,973
Murapol,murapol,38.55,38.65,37.35,3.21,14910
